time,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
6.21,43,34,-16,-49
6.22,46,44,-8,-56
6.23,53,60,0,-67
6.24,55,59,-2,-68
6.25,56,88,26,-83
6.26,58,99,34,-89
6.27,68,92,19,-90
6.28,83,111,22,-108
6.29,95,127,27,-121
6.3,106,164,51,-146
6.31,123,213,84,-179
6.32,146,249,96,-208
6.33,171,291,114,-242
6.34,193,330,132,-272
6.35,206,351,139,-289
6.36,219,371,144,-306
6.37,224,392,161,-319
6.38,217,397,173,-318
6.39,197,365,161,-292
6.4,157,322,159,-250
6.41,103,272,162,-197
6.42,49,186,131,-127
6.43,11,128,111,-80
6.44,-18,86,97,-44
6.45,-42,41,76,-10
6.46,-50,15,59,7
6.47,-51,-2,43,17
6.48,-50,8,52,11
6.49,-46,0,40,13
6.5,-40,-2,31,11
6.51,-32,8,33,1
6.52,-25,4,23,0
6.53,-22,19,34,-8
6.54,-18,26,37,-14
6.55,-10,33,37,-22
6.56,-6,32,31,-24
6.57,-4,34,32,-26
6.58,-1,68,62,-44
6.59,-1,81,77,-51
6.6,-4,70,66,-43
6.61,-12,61,67,-35
6.62,-8,83,85,-48
6.63,-3,85,82,-52
6.64,-8,60,62,-36
6.65,-4,75,72,-46
6.66,-2,94,89,-56
6.67,-7,80,80,-48
6.68,-8,78,79,-45
6.69,-8,80,81,-47
6.7,-9,73,75,-42
6.71,-13,80,86,-44
6.72,-12,80,85,-45
6.73,-10,70,75,-42
6.74,-10,76,80,-43
6.75,-8,74,75,-44
6.76,-9,53,55,-32
6.77,-6,74,73,-45
6.78,-9,77,79,-45
6.79,-12,55,61,-32
6.8,-10,70,74,-41
6.81,-12,78,84,-43
6.82,-10,73,76,-41
6.83,-13,54,61,-31
6.84,-11,58,63,-34
6.85,-7,57,58,-35
6.86,-13,50,56,-29
6.87,-9,64,69,-38
6.88,-8,45,47,-28
6.89,-10,62,65,-37
6.9,-9,80,82,-46
6.91,-10,48,51,-29
6.92,-13,52,58,-30
6.93,-12,58,63,-34
6.94,-10,54,56,-33
6.95,-13,52,57,-30
6.96,-11,55,59,-33
6.97,-7,57,57,-35
6.98,-8,53,55,-32
6.99,-11,44,48,-27
7,-7,31,30,-23
7.01,-1,50,44,-36
7.02,1,52,43,-37
7.03,5,65,52,-45
7.04,10,91,73,-61
7.05,15,119,97,-77
7.06,19,141,115,-90
7.07,24,144,113,-95
7.08,34,211,170,-133
7.09,55,259,197,-167
7.1,63,239,169,-161
7.11,57,224,160,-150
7.12,43,147,97,-105
